user_id,isbn,rating
11676,0002005018,7.074286937713623
116866,0002005018,7.6318559646606445
152827,0060973129,9.199965476989746
157969,0374157065,7.709394454956055
67958,0399135782,8.3153715133667
213191,0399135782,7.811175346374512
245827,0399135782,5.420331954956055
11676,0671870432,6.765286922454834
263256,1558746218,6.932287693023682
226745,1881320189,6.85828971862793
7352,0440234743,6.334382057189941
12923,0440234743,6.638737201690674
13552,0440234743,7.14290714263916
21264,0440234743,6.007532119750977
31299,0440234743,7.351107597351074
64535,0440234743,6.232802391052246
70666,0440234743,6.217518329620361
75819,0440234743,6.694883823394775
79740,0440234743,5.1601104736328125
85534,0440234743,7.815258026123047
100393,0440234743,4.696727752685547
108143,0440234743,6.583284378051758
116127,0440234743,6.570318698883057
122251,0440234743,6.614408493041992
128463,0440234743,6.57586145401001
131703,0440234743,6.482912063598633
132144,0440234743,6.565821170806885
134863,0440234743,6.354061603546143
136707,0440234743,6.493782043457031
143939,0440234743,6.885838985443115
144062,0440234743,8.584677696228027
150400,0440234743,6.557168960571289
154730,0440234743,5.169787406921387
165884,0440234743,5.405688285827637
187533,0440234743,8.2944917678833
187944,0440234743,6.582961082458496
217516,0440234743,5.508450508117676
227392,0440234743,6.226598262786865
240567,0440234743,6.710304260253906
245616,0440234743,4.654901027679443
250101,0440234743,8.37905502319336
258884,0440234743,6.046816349029541
259223,0440234743,7.603555679321289
273979,0440234743,6.838850975036621
6242,0452264464,5.150450229644775
8570,0452264464,7.505923271179199
11104,0452264464,8.106230735778809
11676,0452264464,7.402395725250244
36197,0452264464,7.056472301483154
36907,0452264464,8.377185821533203
80837,0452264464,7.19828987121582
102359,0452264464,8.195869445800781
144803,0452264464,6.963282585144043
165319,0452264464,6.217516899108887
174633,0452264464,8.877717971801758
221232,0452264464,8.326358795166016
252627,0452264464,8.115581512451172
271135,0452264464,7.974498271942139
271144,0452264464,6.259531497955322
11676,0609804618,7.700679302215576
79089,0609804618,7.0550408363342285
271622,0609804618,7.756211757659912
141518,1841721522,7.896576881408691
157118,1841721522,8.509062767028809
14,0689821166,4.796778202056885
4784,0971880107,4.516575813293457
8453,0971880107,4.070321083068848
11554,0971880107,3.624821662902832
12264,0971880107,4.1225714683532715
13088,0971880107,4.092445373535156
13221,0971880107,3.3747873306274414
14049,0971880107,4.1090240478515625
14461,0971880107,4.861205101013184
20147,0971880107,4.284468650817871
21404,0971880107,4.188310623168945
24664,0971880107,4.081562519073486
28091,0971880107,4.868429183959961
28735,0971880107,4.445590972900391
32329,0971880107,4.285238265991211
33535,0971880107,4.05709981918335
37538,0971880107,4.800926685333252
40841,0971880107,4.0774688720703125
41596,0971880107,3.740628957748413
45666,0971880107,4.049713134765625
46398,0971880107,3.9913902282714844
49954,0971880107,4.131744861602783
51803,0971880107,3.7709264755249023
55894,0971880107,4.065749168395996
59994,0971880107,4.37337589263916
60633,0971880107,4.13326358795166
61028,0971880107,4.690847873687744
